                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.895,                 4.6323,                 1.6403,                0.02282,                0.44055,                 0.0187,                0.01033,                 1.4367,                 38.966,                 1.3658,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.4039,                 2.0813,                 1.2895,                0.02544,                0.21548,                0.02312,                0.01235,                 1.3989,                    inf,                 1.3709,             0.00037392,             0.00037392,             0.00037392
                      2,                 1.4042,                 1.7344,                 1.2954,                0.05236,                0.48972,                0.04749,                0.02621,                 1.4753,                    inf,                 1.5045,             0.00055457,             0.00055457,             0.00055457
                      3,                 1.3894,                 1.4098,                 1.2745,                0.05338,                0.63533,                0.04621,                0.02275,                  1.567,                    inf,                 1.6315,             0.00072532,             0.00072532,             0.00072532
                      4,                 1.3822,                 1.3938,                 1.2978,                0.05338,                0.63533,                0.04621,                0.02275,                  2.941,                    inf,                 5.8016,             0.00088616,             0.00088616,             0.00088616
                      5,                 1.2807,                 1.3952,                 1.2232,                0.05338,                0.63533,                0.04621,                0.02275,                    nan,                    nan,                    nan,              0.0010371,              0.0010371,              0.0010371
                      6,                 1.3364,                 1.2841,                 1.2798,                 0.2199,                0.25494,                 0.1272,                0.05031,                  2.716,                 56.202,                 2.6009,              0.0011781,              0.0011781,              0.0011781
                      7,                 1.3765,                 1.3705,                 1.3126,                 0.5393,                0.60561,                0.54568,                0.30432,                 1.4973,                 5.9955,                 1.5952,              0.0013093,              0.0013093,              0.0013093
                      8,                 1.3677,                  1.261,                 1.3093,                0.42721,                0.36462,                0.33847,                0.16488,                 2.0189,                 2.7079,                 1.7654,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.3339,                 1.1755,                 1.3236,                0.67246,                0.65578,                0.64193,                0.34176,                 1.4324,                 1.7271,                 1.5107,              0.0013369,              0.0013369,              0.0013369
                     10,                 1.3017,                 1.0859,                 1.2739,                0.66518,                0.54697,                0.59997,                0.31621,                 1.5291,                   1.51,                 1.5668,              0.0012957,              0.0012957,              0.0012957
                     11,                 1.2967,                 1.0828,                 1.2613,                0.56561,                0.54424,                0.57779,                0.31059,                 1.5105,                  1.601,                 1.5325,              0.0012544,              0.0012544,              0.0012544
                     12,                  1.247,                0.98617,                 1.2377,                  0.746,                0.72346,                0.77064,                0.46427,                 1.3081,                 1.1916,                 1.4111,              0.0012132,              0.0012132,              0.0012132
                     13,                 1.2399,                0.94034,                 1.2257,                0.67794,                0.76406,                0.73791,                 0.4272,                 1.3542,                 1.3237,                 1.4259,              0.0011719,              0.0011719,              0.0011719
                     14,                 1.2153,                0.90893,                 1.2168,                0.69897,                0.73088,                0.78528,                0.47793,                 1.2824,                0.98999,                 1.3552,              0.0011306,              0.0011306,              0.0011306
                     15,                 1.1937,                0.85868,                  1.192,                0.73825,                0.74208,                0.76148,                0.43397,                 1.3296,                 1.0112,                 1.4091,              0.0010894,              0.0010894,              0.0010894
                     16,                 1.1733,                0.86056,                 1.1985,                0.71613,                0.78979,                0.79042,                0.46276,                 1.3129,                0.96436,                 1.3679,              0.0010481,              0.0010481,              0.0010481
                     17,                 1.1836,                0.84681,                 1.2158,                0.74438,                0.74496,                0.78882,                0.46899,                 1.3027,                 1.0031,                 1.3403,              0.0010069,              0.0010069,              0.0010069
                     18,                 1.1678,                0.81731,                 1.1984,                0.71946,                0.76673,                0.74885,                0.43043,                 1.3452,                 1.3077,                 1.3992,             0.00096561,             0.00096561,             0.00096561
                     19,                 1.1572,                 0.8232,                 1.1687,                0.77103,                0.77615,                0.78642,                0.47612,                  1.278,                0.98316,                 1.3442,             0.00092435,             0.00092435,             0.00092435
