                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.895,                 4.6323,                 1.6403,                0.02282,                0.44055,                 0.0187,                0.01033,                 1.4367,                 38.966,                 1.3658,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.4147,                 2.0791,                 1.2879,                0.00171,                0.10909,                0.00129,                0.00074,                 1.3746,                    inf,                 1.3732,             0.00037497,             0.00037497,             0.00037497
                      2,                 1.4167,                 1.7977,                 1.2991,                0.27459,                0.51579,                 0.2452,                0.11624,                 1.4461,                    inf,                 1.4224,             0.00055778,             0.00055778,             0.00055778
                      3,                 1.3993,                  1.588,                 1.2706,                0.34162,                0.22254,                0.21133,                 0.1021,                 1.6516,                    inf,                 1.6074,             0.00073178,             0.00073178,             0.00073178
                      4,                 1.4106,                 1.4217,                  1.334,                 0.1846,                0.14846,                0.06839,                 0.0234,                 3.2539,                 4.0221,                 4.8527,             0.00089698,             0.00089698,             0.00089698
                      5,                 1.2864,                  1.322,                 1.2457,                0.09576,                0.18004,                 0.0394,                0.01108,                 3.7575,                 59.144,                 3.2824,              0.0010534,              0.0010534,              0.0010534
                      6,                 1.2966,                  1.157,                 1.2525,                0.47818,                0.39666,                   0.37,                0.17711,                 1.8492,                 2.1291,                 1.8402,               0.001201,               0.001201,               0.001201
                      7,                  1.325,                  1.136,                 1.2921,                0.73848,                0.57183,                0.61095,                0.32469,                  1.514,                 1.7303,                 1.5565,              0.0013398,              0.0013398,              0.0013398
                      8,                 1.3281,                 1.1079,                 1.2757,                0.64136,                0.55965,                0.55983,                0.27392,                 1.6122,                 1.7946,                 1.6485,              0.0013736,              0.0013736,              0.0013736
                      9,                 1.3407,                 1.1301,                 1.3056,                0.75204,                 0.5122,                0.61357,                0.32166,                 1.6127,                 1.6691,                 1.6498,              0.0013736,              0.0013736,              0.0013736
                     10,                 1.3031,                  1.101,                 1.2581,                0.65029,                0.65695,                0.67876,                0.39174,                 1.3765,                 2.0642,                  1.413,              0.0013369,              0.0013369,              0.0013369
                     11,                 1.2492,                 1.0638,                 1.2461,                0.68406,                0.67499,                0.68966,                0.37845,                 1.4351,                 1.6602,                 1.4156,              0.0013003,              0.0013003,              0.0013003
                     12,                 1.2918,                 1.0206,                 1.2451,                0.62735,                0.62392,                0.64361,                0.36239,                 1.4011,                 1.4085,                 1.4348,              0.0012636,              0.0012636,              0.0012636
                     13,                 1.2788,                0.95819,                 1.2372,                0.68184,                0.69486,                0.72167,                0.40359,                 1.4639,                 1.5199,                 1.4697,              0.0012269,              0.0012269,              0.0012269
                     14,                 1.2299,                 0.9217,                 1.2209,                0.64161,                0.67859,                 0.6806,                0.39472,                 1.3837,                 1.3935,                 1.4097,              0.0011902,              0.0011902,              0.0011902
