                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.895,                 4.6323,                 1.6403,                0.02282,                0.44055,                 0.0187,                0.01033,                 1.4367,                 38.966,                 1.3658,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.4103,                  2.094,                 1.2898,                0.00258,                0.17273,                0.00247,                0.00105,                 1.4078,                    inf,                 1.3708,             0.00037256,             0.00037256,             0.00037256
                      2,                 1.3927,                 1.7755,                 1.2812,                0.03797,                0.64442,                0.03422,                0.01901,                 1.4336,                    nan,                 1.5043,             0.00055044,             0.00055044,             0.00055044
                      3,                 1.3984,                  1.552,                 1.2923,                0.04233,                0.21926,                0.02296,                0.01115,                 2.0466,                    inf,                 2.2565,             0.00071701,             0.00071701,             0.00071701
                      4,                 1.3865,                 1.4069,                 1.3218,                0.13551,                0.38943,                0.07966,                0.03701,                 2.1915,                 33.002,                 2.4662,             0.00087225,             0.00087225,             0.00087225
                      5,                 1.2428,                 1.2731,                 1.2212,                0.26863,                0.37009,                0.15967,                0.07298,                 2.1829,                  16.31,                 1.8526,              0.0010162,              0.0010162,              0.0010162
                      6,                 1.3318,                 1.1436,                 1.2637,                0.12513,                0.68382,                0.09669,                0.04468,                 1.4604,                 27.149,                 1.5825,              0.0011488,              0.0011488,              0.0011488
                      7,                 1.3284,                 1.1447,                 1.2778,                0.68463,                 0.6659,                0.68751,                  0.393,                 1.3711,                 1.8469,                 1.4581,              0.0012701,              0.0012701,              0.0012701
                      8,                 1.2942,                 1.0897,                 1.2622,                0.66338,                0.67025,                0.69144,                0.37318,                 1.4475,                 1.4629,                 1.5261,              0.0012898,              0.0012898,              0.0012898
                      9,                 1.3281,                 1.2297,                 1.3058,                0.73558,                0.53924,                0.58486,                0.29981,                 1.6148,                 1.7166,                 1.5636,              0.0012898,              0.0012898,              0.0012898
                     10,                 1.2968,                 1.0862,                  1.253,                0.66205,                0.57161,                0.60576,                0.34549,                 1.4327,                 1.7536,                 1.4328,              0.0012426,              0.0012426,              0.0012426
                     11,                 1.2633,                 1.0031,                 1.2477,                0.65136,                0.60631,                0.62265,                 0.3483,                 1.3552,                 1.3221,                  1.383,              0.0011955,              0.0011955,              0.0011955
                     12,                 1.2571,                0.95394,                 1.2286,                0.68321,                0.49441,                0.57478,                0.32272,                 1.4602,                  1.967,                   1.46,              0.0011483,              0.0011483,              0.0011483
                     13,                  1.225,                 0.9591,                 1.2207,                0.74103,                0.74743,                 0.7658,                0.45711,                 1.2899,                 1.0944,                 1.3721,              0.0011012,              0.0011012,              0.0011012
                     14,                 1.1887,                0.91106,                 1.2031,                0.70608,                0.79115,                0.76594,                0.46442,                 1.2737,                 1.0625,                 1.3579,               0.001054,               0.001054,               0.001054
                     15,                 1.1617,                0.85867,                 1.1734,                0.76145,                0.71359,                0.77333,                0.45107,                 1.3073,                 1.0949,                 1.3853,              0.0010069,              0.0010069,              0.0010069
                     16,                   1.15,                0.85119,                 1.1903,                0.78843,                0.73826,                0.80259,                0.48043,                 1.2416,                0.93176,                 1.3684,             0.00095972,             0.00095972,             0.00095972
                     17,                 1.1449,                0.82981,                 1.2024,                0.75602,                0.74467,                 0.8028,                0.48525,                  1.264,                0.93622,                 1.3492,             0.00091256,             0.00091256,             0.00091256
                     18,                 1.1407,                0.79534,                 1.1842,                0.73334,                0.77046,                 0.7819,                0.45991,                 1.2604,                  1.022,                 1.3357,             0.00086541,             0.00086541,             0.00086541
                     19,                  1.128,                0.79466,                 1.1519,                 0.7429,                0.77968,                0.78587,                0.46244,                  1.286,                 1.0099,                 1.3561,             0.00081826,             0.00081826,             0.00081826
                     20,                 1.1128,                0.78847,                 1.1601,                0.76935,                 0.7893,                0.82042,                0.50265,                 1.2456,                0.91752,                 1.3277,             0.00077111,             0.00077111,             0.00077111
                     21,                 1.1259,                0.77894,                 1.1508,                0.74557,                0.83602,                0.83472,                0.50067,                 1.2463,                0.83992,                 1.3119,             0.00072395,             0.00072395,             0.00072395
                     22,                 1.1042,                0.75413,                 1.1412,                0.79186,                0.78802,                0.84235,                 0.5172,                 1.2305,                0.80222,                 1.2959,              0.0006768,              0.0006768,              0.0006768
                     23,                 1.0781,                0.73212,                 1.1335,                 0.7499,                0.80758,                 0.8298,                0.50136,                 1.2576,                0.82609,                 1.3065,             0.00062965,             0.00062965,             0.00062965
                     24,                 1.0792,                0.71989,                 1.1631,                0.79532,                0.80814,                0.85123,                0.52507,                 1.2123,                0.80918,                 1.2887,              0.0005825,              0.0005825,              0.0005825
                     25,                 1.0849,                0.81129,                 1.1702,                0.79933,                0.79453,                0.84199,                0.51242,                   1.26,                0.81868,                 1.3165,             0.00053535,             0.00053535,             0.00053535
                     26,                 1.0167,                0.67429,                 1.1383,                0.76388,                0.77798,                0.84767,                0.52799,                 1.2288,                0.79549,                 1.3041,             0.00048819,             0.00048819,             0.00048819
                     27,                 1.0165,                 0.6609,                 1.1382,                0.81991,                0.76609,                0.84448,                0.52906,                 1.2078,                0.79011,                  1.284,             0.00044104,             0.00044104,             0.00044104
                     28,                0.97974,                0.63076,                 1.0969,                0.81526,                0.73931,                0.83767,                0.52676,                 1.2145,                0.80969,                 1.2917,             0.00039389,             0.00039389,             0.00039389
                     29,                0.98275,                0.62744,                 1.0952,                0.78671,                0.79048,                0.83149,                0.52376,                 1.2094,                 0.8037,                 1.2862,             0.00034674,             0.00034674,             0.00034674
