                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.895,                 4.6323,                 1.6403,                0.02282,                0.44055,                 0.0187,                0.01033,                 1.4367,                 38.966,                 1.3658,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.4082,                 2.0792,                 1.2901,                0.00333,                0.17964,                0.00397,                0.00161,                 1.3772,                    inf,                 1.3806,             0.00037076,             0.00037076,             0.00037076
                      2,                  1.383,                 1.6829,                 1.2783,                  0.035,                0.76586,                0.03133,                0.01759,                 1.2887,                    inf,                 1.3799,             0.00054494,             0.00054494,             0.00054494
                      3,                 1.3759,                 1.4207,                 1.2683,                0.07425,                0.69463,                0.06239,                0.03327,                 1.4825,                    inf,                 1.5608,             0.00070592,             0.00070592,             0.00070592
                      4,                 1.3339,                  1.381,                 1.2669,                0.40331,                0.57222,                0.36918,                0.18655,                 1.4965,                 7.5426,                 1.5525,              0.0008537,              0.0008537,              0.0008537
                      5,                 1.2362,                 1.2686,                 1.2152,                0.35615,                0.54596,                0.33864,                0.16644,                 1.5905,                 31.904,                 1.6628,             0.00098828,             0.00098828,             0.00098828
                      6,                 1.2799,                   1.11,                 1.2436,                0.42819,                0.62561,                0.41608,                0.20492,                  1.546,                 3.5311,                 1.6507,              0.0011097,              0.0011097,              0.0011097
                      7,                 1.3506,                 1.3536,                 1.3104,                0.56883,                0.47914,                0.52476,                0.26889,                 1.7251,                 4.3911,                 1.7081,              0.0012178,              0.0012178,              0.0012178
                      8,                 1.4947,                 1.4623,                 1.3496,                0.49373,                0.61242,                0.44985,                0.23224,                 1.4978,                 2.1326,                 1.7721,              0.0012269,              0.0012269,              0.0012269
                      9,                 1.3384,                 1.3222,                 1.3304,                0.65499,                0.72126,                0.64487,                 0.3313,                 1.4947,                  2.009,                 1.5394,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.3083,                 1.0869,                 1.2652,                0.73589,                0.74496,                0.72541,                0.39282,                 1.4325,                 1.3018,                 1.4602,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.2799,                 1.0553,                 1.2513,                0.57501,                0.71048,                0.68017,                0.37377,                 1.3415,                 2.3043,                 1.4497,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.3033,                  1.006,                 1.2656,                0.65824,                0.69463,                0.68745,                0.39136,                 1.3994,                 1.8953,                 1.4928,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.2413,                0.95287,                 1.2229,                0.67576,                0.73389,                 0.7354,                0.42979,                 1.3417,                 1.2944,                 1.4045,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.1868,                0.91324,                  1.205,                0.76463,                0.71759,                0.77959,                0.46028,                 1.3309,                0.98712,                 1.3725,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.1489,                0.82063,                 1.1685,                0.71862,                0.79318,                 0.8033,                0.47752,                  1.263,                0.97347,                 1.3804,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.1669,                0.84074,                 1.2025,                0.75704,                0.78693,                0.80563,                0.48188,                 1.2625,                0.91143,                 1.3626,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.1544,                0.82195,                  1.196,                0.82675,                0.71541,                0.80252,                0.49114,                 1.2794,                0.98489,                 1.3455,             0.00078682,             0.00078682,             0.00078682
