                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9476,                 3.4508,                 1.5914,                0.29188,                0.58815,                0.24855,                0.13792,                 1.4085,                 7.3622,                 1.3425,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.3961,                 1.9526,                  1.198,                0.07254,                0.51429,                0.06951,                0.04044,                 1.4108,                  33.66,                 1.2232,             0.00037497,             0.00037497,             0.00037497
                      2,                 1.3339,                 1.6431,                 1.1584,                0.59044,                0.50575,                0.54658,                0.30528,                 1.3239,                 2.2698,                 1.1026,             0.00055778,             0.00055778,             0.00055778
                      3,                 1.3532,                 1.4311,                 1.1418,                0.47942,                0.64805,                0.42225,                0.22825,                 1.3607,                 6.6967,                 1.1385,             0.00073178,             0.00073178,             0.00073178
                      4,                 1.3707,                 1.2927,                 1.1811,                 0.2035,                0.42957,                 0.2237,                0.12324,                 1.4709,                 8.1113,                 1.2834,             0.00089698,             0.00089698,             0.00089698
                      5,                 1.2899,                 1.2846,                 1.1218,                0.67694,                0.60351,                0.65087,                0.35812,                 1.4265,                 1.4368,                 1.2439,              0.0010534,              0.0010534,              0.0010534
                      6,                 1.3194,                  1.211,                 1.1554,                0.47862,                0.68882,                0.61544,                0.36086,                 1.3607,                 3.0397,                  1.266,               0.001201,               0.001201,               0.001201
                      7,                 1.2729,                 1.1693,                 1.1503,                0.73229,                0.59349,                0.68309,                0.37826,                 1.4135,                 1.9249,                 1.2993,              0.0013398,              0.0013398,              0.0013398
                      8,                 1.2633,                 1.1195,                 1.1273,                0.66281,                0.61858,                0.65845,                0.38118,                 1.3435,                 1.5676,                 1.2313,              0.0013736,              0.0013736,              0.0013736
                      9,                 1.2623,                 1.0386,                 1.1585,                0.71076,                0.59506,                0.67212,                0.38837,                 1.3649,                 1.5787,                 1.2679,              0.0013736,              0.0013736,              0.0013736
                     10,                 1.2624,                 1.0424,                 1.1244,                0.64503,                0.69713,                0.70251,                0.39616,                 1.3771,                 1.5313,                 1.2534,              0.0013369,              0.0013369,              0.0013369
                     11,                 1.1808,                 1.0216,                 1.1064,                0.65332,                0.59775,                0.63349,                0.34918,                 1.4264,                 1.4779,                   1.26,              0.0013003,              0.0013003,              0.0013003
                     12,                 1.2156,                0.98568,                 1.1058,                0.65861,                0.69187,                0.70689,                0.40643,                 1.3772,                 1.1024,                 1.2232,              0.0012636,              0.0012636,              0.0012636
                     13,                 1.2262,                0.90875,                  1.107,                 0.7465,                0.69878,                0.76433,                0.43454,                 1.3767,                 1.2009,                 1.2341,              0.0012269,              0.0012269,              0.0012269
                     14,                 1.2142,                0.89703,                 1.1159,                0.71233,                0.74985,                0.77483,                0.46354,                 1.2875,                 1.0908,                 1.1545,              0.0011902,              0.0011902,              0.0011902
                     15,                 1.1592,                0.88129,                  1.071,                0.70241,                0.77535,                0.79807,                0.47872,                 1.2806,                 1.1165,                 1.1994,              0.0011536,              0.0011536,              0.0011536
                     16,                 1.1392,                0.86463,                 1.0685,                0.79434,                0.72969,                0.80157,                0.47585,                 1.2709,                0.94232,                 1.1812,              0.0011169,              0.0011169,              0.0011169
                     17,                 1.1236,                0.84193,                 1.0777,                0.83784,                0.70264,                0.80793,                0.49541,                 1.2745,                0.88007,                 1.1997,              0.0010802,              0.0010802,              0.0010802
                     18,                 1.1286,                0.79656,                 1.0692,                0.77044,                 0.7646,                0.81735,                0.49501,                 1.2529,                0.95575,                 1.1741,              0.0010435,              0.0010435,              0.0010435
                     19,                 1.0917,                0.81293,                 1.0538,                0.77673,                0.77836,                0.81935,                0.50427,                 1.2435,                0.87418,                 1.1884,              0.0010069,              0.0010069,              0.0010069
                     20,                 1.0951,                0.80644,                 1.0542,                0.81205,                 0.7496,                0.82995,                0.50638,                  1.252,                0.86215,                 1.1739,             0.00097019,             0.00097019,             0.00097019
                     21,                 1.1237,                0.81119,                 1.0632,                0.78106,                0.79306,                0.83606,                0.49578,                 1.2753,                0.87771,                 1.1793,             0.00093352,             0.00093352,             0.00093352
                     22,                 1.1181,                0.80471,                 1.0546,                0.75547,                0.82935,                0.85386,                 0.5227,                 1.2271,                0.81848,                 1.1602,             0.00089685,             0.00089685,             0.00089685
                     23,                 1.0734,                0.77173,                 1.0404,                0.79636,                0.78918,                 0.8383,                0.51393,                 1.2439,                0.86781,                 1.1546,             0.00086017,             0.00086017,             0.00086017
                     24,                 1.0808,                  0.747,                 1.0553,                0.76654,                0.82732,                0.85026,                0.53281,                  1.191,                0.85487,                 1.1376,              0.0008235,              0.0008235,              0.0008235
                     25,                 1.0712,                0.76224,                 1.0366,                0.81443,                0.76685,                0.83656,                0.51118,                 1.2457,                0.84558,                 1.1704,             0.00078682,             0.00078682,             0.00078682
                     26,                 1.0464,                0.73078,                 1.0186,                0.77693,                0.79844,                0.82608,                0.51502,                 1.1956,                 0.8483,                 1.1546,             0.00075015,             0.00075015,             0.00075015
                     27,                 1.0372,                0.72121,                 1.0452,                0.84341,                0.79575,                0.85653,                0.54194,                 1.1812,                0.77357,                 1.1269,             0.00071348,             0.00071348,             0.00071348
                     28,                 1.0483,                0.70745,                 1.0315,                0.77371,                0.83404,                0.86554,                0.54586,                 1.1975,                0.77271,                 1.1338,              0.0006768,              0.0006768,              0.0006768
                     29,                 1.0398,                0.76567,                 1.0259,                0.83972,                0.74583,                0.85445,                0.54593,                 1.1761,                0.77292,                 1.1298,             0.00064013,             0.00064013,             0.00064013
                     30,                 1.0097,                0.67386,                 1.0039,                0.77516,                0.80816,                0.83654,                0.53411,                 1.1772,                0.82161,                 1.1469,             0.00060345,             0.00060345,             0.00060345
                     31,                0.98488,                0.65868,                  1.013,                0.82325,                0.76817,                0.84845,                0.54297,                 1.1883,                0.80152,                 1.1425,             0.00056678,             0.00056678,             0.00056678
                     32,                0.94971,                0.65025,                0.99222,                0.83049,                0.78692,                0.85294,                0.54349,                 1.1721,                0.78599,                 1.1289,             0.00053011,             0.00053011,             0.00053011
                     33,                0.97059,                0.64101,                0.99752,                0.79994,                0.81142,                0.86738,                0.55196,                 1.1696,                0.76825,                 1.1404,             0.00049343,             0.00049343,             0.00049343
                     34,                 0.9567,                0.63885,                 1.0122,                0.79676,                0.82166,                0.87929,                0.55341,                 1.1804,                0.75756,                  1.145,             0.00045676,             0.00045676,             0.00045676
                     35,                0.94844,                0.60296,                0.98407,                0.82617,                0.80599,                0.88204,                0.56007,                 1.1779,                0.72769,                 1.1383,             0.00042008,             0.00042008,             0.00042008
                     36,                0.94558,                0.58054,                0.98262,                0.79334,                0.83597,                0.87134,                0.54447,                 1.1843,                0.73288,                 1.1509,             0.00038341,             0.00038341,             0.00038341
                     37,                0.93983,                0.59083,                0.96832,                0.81863,                0.81252,                0.87182,                0.56032,                 1.1666,                0.73506,                 1.1425,             0.00034674,             0.00034674,             0.00034674
                     38,                0.91584,                0.58512,                0.96964,                0.81751,                0.82407,                0.86672,                0.54355,                 1.1797,                0.75663,                 1.1453,             0.00031006,             0.00031006,             0.00031006
                     39,                0.92754,                0.56514,                0.97488,                0.84016,                0.80892,                 0.8661,                0.55368,                 1.1571,                0.74152,                 1.1388,             0.00027339,             0.00027339,             0.00027339
                     40,                0.91317,                0.56647,                0.95518,                0.82383,                0.80795,                0.86303,                0.56244,                 1.1388,                0.75372,                 1.1329,             0.00023671,             0.00023671,             0.00023671
                     41,                0.86144,                0.51669,                 0.9381,                0.81441,                 0.8215,                0.86673,                 0.5582,                  1.159,                0.75902,                 1.1442,             0.00020004,             0.00020004,             0.00020004
                     42,                0.89111,                0.53405,                0.95414,                0.85849,                0.78703,                0.86778,                0.56235,                 1.1644,                0.74346,                 1.1445,             0.00016337,             0.00016337,             0.00016337
                     43,                0.87722,                0.50807,                0.94582,                0.84049,                0.81053,                0.87286,                0.56809,                  1.154,                0.73368,                 1.1349,             0.00012669,             0.00012669,             0.00012669
                     44,                0.85452,                 0.5119,                0.95052,                0.82224,                  0.826,                0.87596,                0.56661,                 1.1558,                0.72784,                 1.1392,             9.0018e-05,             9.0018e-05,             9.0018e-05
