                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9476,                 3.4508,                 1.5914,                0.29188,                0.58815,                0.24855,                0.13792,                 1.4085,                 7.3622,                 1.3425,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.3989,                 1.9534,                 1.1991,                0.06624,                0.50912,                0.06113,                0.03538,                 1.3925,                    inf,                 1.2175,             0.00037582,             0.00037582,             0.00037582
                      2,                 1.3462,                 1.6539,                 1.1547,                0.49059,                0.52749,                0.53176,                 0.3132,                 1.3151,                 2.1066,                 1.0979,             0.00056035,             0.00056035,             0.00056035
                      3,                 1.3599,                 1.4281,                 1.1325,                0.71597,                0.52304,                0.59637,                0.32778,                 1.4319,                 1.7576,                 1.1754,             0.00073695,             0.00073695,             0.00073695
                      4,                 1.3268,                 1.3367,                 1.1519,                0.63045,                0.46758,                 0.5342,                0.28349,                 1.5058,                 2.0123,                 1.2824,             0.00090563,             0.00090563,             0.00090563
                      5,                 1.2481,                 1.3178,                 1.0966,                0.63301,                0.51877,                0.55473,                0.30399,                 1.4456,                 2.0433,                 1.2272,              0.0010664,              0.0010664,              0.0010664
                      6,                 1.2722,                 1.1864,                 1.1186,                0.46272,                0.62581,                0.48518,                0.24554,                 1.5256,                 1.5494,                 1.2896,              0.0012192,              0.0012192,              0.0012192
                      7,                 1.2715,                 1.1192,                 1.1298,                0.58992,                0.57237,                0.55019,                0.32209,                  1.391,                 1.3321,                 1.2312,              0.0013642,              0.0013642,              0.0013642
                      8,                 1.2819,                 1.1392,                 1.1321,                0.54238,                0.62431,                0.56448,                0.32975,                 1.3451,                 1.3767,                 1.2038,              0.0014029,              0.0014029,              0.0014029
                      9,                 1.2669,                 1.1095,                 1.1479,                0.57908,                0.71526,                0.63776,                0.34376,                 1.4281,                 1.3735,                 1.2687,              0.0014029,              0.0014029,              0.0014029
