                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9476,                 3.4508,                 1.5914,                0.29188,                0.58815,                0.24855,                0.13792,                 1.4085,                 7.3622,                 1.3425,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.3987,                 1.9546,                 1.1998,                0.07317,                0.51594,                0.06865,                0.04019,                 1.4198,                 32.399,                 1.2399,             0.00037076,             0.00037076,             0.00037076
                      2,                 1.3425,                 1.6468,                 1.1551,                0.56616,                0.43875,                0.54271,                0.32152,                 1.3102,                 1.9216,                 1.1115,             0.00054494,             0.00054494,             0.00054494
                      3,                 1.3528,                 1.4118,                 1.1468,                0.74661,                0.49814,                0.58806,                0.33236,                 1.3726,                 1.6402,                 1.1939,             0.00070592,             0.00070592,             0.00070592
                      4,                 1.3447,                 1.3038,                 1.1656,                0.56491,                0.61773,                0.57425,                0.33329,                 1.3628,                  1.635,                 1.1974,              0.0008537,              0.0008537,              0.0008537
                      5,                 1.2315,                 1.2609,                 1.1018,                0.50574,                0.57973,                0.55864,                0.30027,                 1.4311,                 1.7654,                 1.2029,             0.00098828,             0.00098828,             0.00098828
                      6,                 1.2638,                 1.1611,                 1.1093,                0.58191,                0.58161,                0.56412,                0.31339,                 1.4146,                  1.906,                 1.2085,              0.0011097,              0.0011097,              0.0011097
                      7,                 1.2613,                 1.0703,                 1.1264,                0.60237,                0.53644,                0.55843,                0.30659,                 1.4242,                  1.677,                 1.1937,              0.0012178,              0.0012178,              0.0012178
                      8,                 1.2504,                 1.1217,                 1.1142,                0.07127,                0.69931,                0.06832,                0.03844,                  1.362,                 28.796,                 1.2319,              0.0012269,              0.0012269,              0.0012269
                      9,                 1.2541,                 1.0653,                 1.1541,                0.55185,                0.71682,                0.66129,                 0.3771,                 1.3695,                  2.029,                 1.2205,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.2385,                 0.9785,                 1.1067,                0.80726,                 0.6738,                0.77368,                0.45313,                 1.3432,                 1.2759,                 1.2177,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.1898,                0.98627,                    1.1,                0.74294,                0.74472,                0.79526,                0.46829,                 1.2855,                 1.0325,                 1.1658,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.1973,                0.93105,                 1.0875,                0.75911,                0.69457,                0.75603,                0.45204,                 1.3033,                 1.0477,                  1.172,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.2071,                0.91356,                 1.0971,                 0.7451,                0.72617,                0.77346,                0.43437,                 1.3651,                 1.1689,                 1.2332,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.1616,                0.88812,                 1.0879,                0.82085,                0.73799,                0.81748,                0.48475,                 1.2935,                0.96425,                 1.1837,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.1578,                0.84607,                 1.0738,                0.71785,                0.82443,                0.83494,                0.49881,                 1.2442,                 1.2514,                 1.1569,             0.00089685,             0.00089685,             0.00089685
                     16,                  1.143,                0.82475,                 1.0591,                0.78717,                0.75938,                0.82346,                0.48914,                 1.2488,                0.95755,                 1.1462,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.1335,                0.80954,                  1.073,                0.82785,                0.73106,                0.83826,                0.51461,                 1.2494,                0.86844,                 1.1471,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.1062,                0.75517,                 1.0591,                0.81082,                0.74275,                0.83032,                0.50435,                 1.2041,                0.88606,                 1.1229,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.0809,                0.76352,                 1.0397,                0.79293,                0.75629,                  0.832,                0.51395,                 1.2284,                0.87654,                  1.142,              0.0006768,              0.0006768,              0.0006768
                     20,                  1.097,                0.82554,                 1.0428,                0.81891,                0.78236,                0.84006,                0.51909,                  1.211,                0.83444,                 1.1399,             0.00062179,             0.00062179,             0.00062179
                     21,                 1.0301,                0.73271,                  1.021,                 0.8472,                0.77112,                0.85878,                0.52404,                 1.2378,                0.84008,                  1.142,             0.00056678,             0.00056678,             0.00056678
                     22,                 1.0508,                0.71149,                 1.0119,                0.81273,                0.77104,                0.84225,                0.51182,                 1.2049,                0.82114,                  1.156,             0.00051177,             0.00051177,             0.00051177
                     23,                 1.0401,                0.71604,                 1.0172,                0.86243,                0.76659,                0.86307,                0.53277,                 1.2029,                0.80314,                 1.1454,             0.00045676,             0.00045676,             0.00045676
                     24,                 1.0044,                0.68332,                 1.0057,                0.80549,                0.81014,                0.85204,                 0.5192,                 1.1989,                0.82311,                 1.1486,             0.00040175,             0.00040175,             0.00040175
                     25,                 1.0226,                0.68182,                 1.0146,                0.82391,                0.82848,                0.86654,                0.53694,                 1.1881,                 0.7827,                 1.1431,             0.00034674,             0.00034674,             0.00034674
                     26,                0.99675,                0.63201,                 1.0079,                0.81999,                0.81301,                0.85572,                0.52971,                 1.1884,                0.80575,                 1.1368,             0.00029172,             0.00029172,             0.00029172
                     27,                 1.0078,                0.66632,                 1.0123,                0.82701,                0.81005,                0.85391,                0.54131,                 1.1735,                0.77599,                 1.1249,             0.00023671,             0.00023671,             0.00023671
                     28,                0.94115,                0.59821,                0.97893,                0.85744,                0.78229,                0.86431,                0.55225,                 1.1624,                0.76361,                 1.1243,              0.0001817,              0.0001817,              0.0001817
                     29,                 0.9475,                0.60854,                0.98446,                0.84137,                 0.7927,                 0.8545,                0.54402,                 1.1544,                0.76337,                  1.132,             0.00012669,             0.00012669,             0.00012669
