                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9476,                 3.4508,                 1.5914,                0.29188,                0.58815,                0.24855,                0.13792,                 1.4085,                 7.3622,                 1.3425,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.3959,                 1.9494,                 1.1984,                0.07733,                0.34122,                0.06949,                0.04113,                 1.3869,                    inf,                  1.198,             0.00037708,             0.00037708,             0.00037708
                      2,                 1.3344,                 1.6514,                 1.1495,                0.61211,                0.53538,                 0.5519,                0.30954,                 1.2945,                 2.3976,                 1.0951,              0.0005642,              0.0005642,              0.0005642
                      3,                 1.3397,                 1.4309,                 1.1277,                0.48922,                0.58751,                0.48626,                0.27347,                 1.3502,                 3.0381,                 1.2034,             0.00074471,             0.00074471,             0.00074471
                      4,                 1.3639,                 1.3456,                 1.1697,                0.48931,                0.51388,                0.45566,                0.26904,                 1.3205,                 3.2696,                 1.1741,             0.00091862,             0.00091862,             0.00091862
                      5,                 1.2449,                 1.2134,                  1.095,                0.72917,                0.44353,                0.50949,                0.27384,                 1.5763,                 1.9452,                 1.3173,              0.0010859,              0.0010859,              0.0010859
                      6,                 1.2782,                 1.1871,                 1.1137,                 0.2149,                0.22584,                0.05398,                0.02696,                 2.7623,                  32.97,                 2.5307,              0.0012466,              0.0012466,              0.0012466
                      7,                 1.2778,                 1.1737,                 1.1222,                0.39238,                0.29562,                0.26662,                0.14816,                 2.0947,                 2.8933,                 1.7557,              0.0014007,              0.0014007,              0.0014007
                      8,                  1.291,                 1.1569,                 1.1406,                0.63819,                0.62218,                0.61886,                0.35485,                  1.441,                 1.3962,                 1.2419,               0.001447,               0.001447,               0.001447
                      9,                 1.3151,                 1.0361,                 1.1685,                0.48984,                0.48058,                0.44221,                0.20944,                 1.7101,                 1.9993,                  1.391,               0.001447,               0.001447,               0.001447
