                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3509,                 5.1139,                 1.8205,                0.16274,                 0.1527,                0.07783,                0.03536,                 1.5606,                 3.0432,                 1.2232,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.5497,                 1.9886,                 1.1799,                0.32775,                0.35127,                0.30566,                0.16085,                 1.4917,                 2.3234,                  1.218,             0.00037392,             0.00037392,             0.00037392
                      2,                 1.4634,                 1.6509,                 1.1445,                0.29901,                0.43729,                0.28234,                 0.1702,                 1.3387,                 2.3403,                 1.1229,             0.00055457,             0.00055457,             0.00055457
                      3,                 1.4163,                 1.4462,                 1.0844,                0.53397,                0.21698,                0.26082,                0.13748,                 1.4941,                 2.7696,                  1.269,             0.00072532,             0.00072532,             0.00072532
                      4,                 1.4119,                 1.4062,                  1.129,                  0.542,                0.22148,                  0.294,                0.15411,                 1.5712,                 2.6763,                 1.3452,             0.00088616,             0.00088616,             0.00088616
                      5,                 1.2629,                 1.3306,                 1.0468,                0.47937,                0.46283,                 0.4591,                0.24823,                 1.3976,                 1.8513,                 1.1624,              0.0010371,              0.0010371,              0.0010371
                      6,                 1.2959,                 1.2082,                 1.0497,                0.65454,                0.56303,                0.59506,                0.32743,                 1.3401,                 1.3547,                 1.1224,              0.0011781,              0.0011781,              0.0011781
                      7,                 1.2834,                 1.1447,                 1.0633,                0.54662,                0.49886,                 0.5188,                0.28039,                  1.428,                  1.713,                  1.146,              0.0013093,              0.0013093,              0.0013093
                      8,                 1.2604,                 1.1571,                 1.0448,                 0.6151,                0.55673,                0.59573,                0.31805,                 1.4398,                 1.2851,                 1.1336,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.2818,                 1.0967,                 1.0839,                0.59221,                 0.6355,                0.63015,                0.33263,                 1.4495,                   1.36,                 1.1565,              0.0013369,              0.0013369,              0.0013369
                     10,                 1.2751,                 1.0302,                 1.0555,                0.74009,                0.59467,                0.66032,                0.39245,                 1.2983,                  1.219,                 1.0933,              0.0012957,              0.0012957,              0.0012957
                     11,                 1.2167,                0.98603,                 1.0362,                 0.6862,                 0.6967,                0.71808,                0.41314,                 1.3145,                 1.1401,                 1.1135,              0.0012544,              0.0012544,              0.0012544
                     12,                 1.2703,                0.94888,                 1.0491,                 0.6889,                0.73128,                0.73967,                0.44294,                 1.2791,                 1.0347,                 1.0953,              0.0012132,              0.0012132,              0.0012132
                     13,                 1.2622,                0.92206,                 1.0466,                0.74809,                0.63272,                0.72454,                 0.4303,                 1.3072,                 1.1749,                 1.0835,              0.0011719,              0.0011719,              0.0011719
