                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3521,                 5.1138,                 1.8212,                0.16302,                 0.1458,                0.07691,                0.03528,                 1.5621,                 3.0711,                 1.2247,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.5553,                 1.9902,                 1.1811,                0.36565,                 0.3489,                0.32371,                0.17553,                 1.4604,                 2.3937,                 1.1971,             0.00037497,             0.00037497,             0.00037497
                      2,                  1.461,                 1.6531,                 1.1393,                0.52538,                0.46669,                0.48462,                 0.2762,                 1.3187,                 1.7059,                 1.0972,             0.00055778,             0.00055778,             0.00055778
                      3,                 1.4183,                 1.4465,                 1.0885,                0.56235,                0.35887,                0.41213,                0.22418,                 1.4545,                 2.3141,                 1.2131,             0.00073178,             0.00073178,             0.00073178
                      4,                 1.3913,                 1.3822,                 1.1134,                0.55321,                0.34116,                0.43715,                0.23624,                 1.4239,                 2.4228,                 1.1864,             0.00089698,             0.00089698,             0.00089698
                      5,                 1.2808,                 1.3273,                 1.0485,                0.46649,                0.49257,                0.52542,                0.28103,                 1.3826,                 2.0528,                 1.1471,              0.0010534,              0.0010534,              0.0010534
                      6,                 1.3032,                 1.1983,                 1.0574,                0.49657,                0.54493,                0.49363,                0.25096,                 1.4311,                 1.7379,                 1.1368,               0.001201,               0.001201,               0.001201
                      7,                 1.3286,                 1.1264,                  1.069,                0.65966,                0.55483,                0.60791,                 0.3368,                 1.3582,                 1.5144,                 1.1384,              0.0013398,              0.0013398,              0.0013398
                      8,                 1.2853,                 1.1627,                 1.0666,                0.62272,                0.49489,                0.54118,                0.29589,                 1.4442,                 1.8336,                 1.1775,              0.0013736,              0.0013736,              0.0013736
                      9,                 1.2786,                  1.168,                 1.0757,                0.64828,                0.62139,                0.60836,                0.34111,                  1.392,                 1.5483,                 1.1447,              0.0013736,              0.0013736,              0.0013736
                     10,                 1.2608,                 1.0402,                 1.0568,                0.73596,                0.66622,                0.69988,                0.38719,                 1.3619,                 1.1622,                 1.1146,              0.0013369,              0.0013369,              0.0013369
                     11,                 1.2083,                 1.0255,                 1.0331,                0.73077,                0.64587,                0.69124,                0.38386,                 1.3481,                  1.188,                 1.1115,              0.0013003,              0.0013003,              0.0013003
                     12,                 1.2211,                 0.9814,                 1.0288,                0.73585,                0.71741,                0.75382,                0.43276,                 1.3102,                 1.0185,                 1.0918,              0.0012636,              0.0012636,              0.0012636
                     13,                 1.2654,                0.93584,                 1.0426,                 0.7489,                0.74583,                0.80167,                0.48619,                 1.2532,                0.98858,                 1.0864,              0.0012269,              0.0012269,              0.0012269
