                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3521,                 5.1138,                 1.8212,                0.16302,                 0.1458,                0.07691,                0.03528,                 1.5621,                 3.0711,                 1.2247,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.5536,                 1.9901,                 1.1805,                0.35374,                0.35601,                0.32782,                0.17807,                  1.453,                 2.3706,                 1.1951,             0.00037582,             0.00037582,             0.00037582
                      2,                 1.4586,                 1.6492,                 1.1376,                0.47276,                0.50621,                 0.4595,                0.25617,                 1.3256,                 1.7623,                 1.1091,             0.00056035,             0.00056035,             0.00056035
                      3,                 1.4079,                 1.4347,                  1.096,                 0.3274,                0.37382,                0.34155,                 0.1833,                 1.4706,                 2.2818,                 1.2367,             0.00073695,             0.00073695,             0.00073695
                      4,                 1.3922,                  1.399,                 1.1153,                0.69876,                0.26617,                0.40002,                0.21665,                  1.465,                 2.6725,                 1.2353,             0.00090563,             0.00090563,             0.00090563
                      5,                 1.2626,                 1.3616,                  1.047,                0.64113,                0.44405,                0.54262,                0.28306,                 1.3829,                 1.9722,                 1.1193,              0.0010664,              0.0010664,              0.0010664
                      6,                 1.2867,                 1.2319,                 1.0507,                0.66129,                0.54862,                0.59745,                 0.3015,                 1.3849,                 1.4208,                 1.1194,              0.0012192,              0.0012192,              0.0012192
                      7,                 1.3013,                 1.1248,                 1.0817,                0.68687,                0.49983,                0.60618,                0.33408,                 1.4183,                 1.6435,                 1.1435,              0.0013642,              0.0013642,              0.0013642
                      8,                  1.306,                 1.1142,                 1.0718,                0.68025,                 0.5526,                 0.6052,                0.33425,                 1.3959,                 1.6141,                 1.1293,              0.0014029,              0.0014029,              0.0014029
                      9,                 1.2864,                 1.1171,                 1.0904,                0.66558,                0.53066,                0.56789,                0.28819,                 1.4676,                 1.6155,                 1.1606,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.2648,                0.99861,                 1.0595,                0.71493,                0.61396,                0.67577,                0.37848,                 1.3696,                 1.1896,                 1.1247,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2371,                   1.01,                 1.0482,                0.73622,                0.67978,                0.74011,                 0.4187,                 1.3474,                 1.0646,                 1.1215,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.2215,                0.97464,                 1.0386,                0.64399,                0.73727,                0.69084,                0.39908,                  1.311,                 1.1143,                 1.1137,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2481,                0.90882,                  1.043,                0.76111,                0.69785,                0.76728,                0.46217,                 1.2912,                0.96563,                 1.1076,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.2299,                0.93738,                 1.0351,                0.80006,                 0.7071,                0.77814,                0.47003,                 1.2507,                0.95451,                 1.0854,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.1939,                0.89891,                 1.0213,                0.76565,                0.72944,                0.79519,                0.47182,                 1.2753,                0.90804,                 1.0863,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.1714,                0.87836,                 1.0087,                0.73149,                0.74006,                0.77799,                0.46566,                 1.2726,                0.95397,                 1.1012,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.1748,                0.86542,                 1.0249,                0.71753,                0.76498,                0.78743,                0.46364,                 1.2753,                0.88626,                 1.0974,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.1431,                0.80215,                 1.0033,                0.76223,                0.76667,                 0.7945,                0.47003,                 1.2556,                 0.8851,                 1.0732,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.1307,                0.82554,                0.99968,                0.77528,                0.72009,                0.77397,                0.45151,                 1.2991,                0.93606,                 1.0805,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.1283,                0.81177,                0.99201,                0.79646,                0.73668,                0.80414,                0.49424,                 1.2384,                0.86583,                 1.0739,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.1599,                 0.8388,                  1.009,                0.77732,                 0.7629,                0.79839,                0.49849,                 1.2147,                0.84245,                 1.0689,              0.0010069,              0.0010069,              0.0010069
                     22,                  1.118,                0.81319,                0.99682,                0.74865,                0.79189,                0.81249,                0.49175,                 1.2413,                0.86348,                 1.0913,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.1058,                0.78167,                0.98233,                0.77795,                0.78316,                0.80102,                 0.4864,                 1.2194,                0.84536,                 1.0683,             0.00094085,             0.00094085,             0.00094085
