                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3509,                 5.1139,                 1.8205,                0.16274,                 0.1527,                0.07783,                0.03536,                 1.5606,                 3.0432,                 1.2232,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.5498,                 1.9883,                 1.1802,                0.32424,                0.32313,                0.28855,                0.15108,                 1.5101,                  2.338,                 1.2289,             0.00037651,             0.00037651,             0.00037651
                      2,                 1.4682,                   1.66,                 1.1469,                0.32531,                0.42453,                0.33146,                0.19713,                 1.3606,                 2.0244,                 1.1219,             0.00056245,             0.00056245,             0.00056245
                      3,                 1.4172,                 1.4671,                 1.0838,                0.56451,                0.20595,                 0.2594,                0.13827,                  1.504,                 2.8733,                 1.2595,             0.00074118,             0.00074118,             0.00074118
                      4,                 1.3953,                 1.4699,                 1.1303,                0.52877,                0.24548,                0.28953,                0.15627,                  1.585,                 2.7977,                  1.322,             0.00091272,             0.00091272,             0.00091272
                      5,                 1.2576,                 1.3142,                 1.0491,                0.40492,                0.32356,                0.32722,                0.15377,                 1.5291,                  2.551,                 1.2987,               0.001077,               0.001077,               0.001077
                      6,                 1.2667,                 1.1743,                 1.0478,                0.64662,                0.51238,                0.56696,                0.32063,                 1.3697,                 1.6023,                 1.1287,              0.0012342,              0.0012342,              0.0012342
                      7,                 1.2834,                 1.1734,                 1.0541,                0.62777,                0.46259,                0.52977,                0.30065,                  1.334,                 1.9435,                 1.1584,              0.0013841,              0.0013841,              0.0013841
                      8,                 1.2544,                 1.1301,                 1.0458,                0.65524,                0.56183,                0.59118,                  0.339,                 1.3124,                 1.6063,                  1.129,               0.001427,               0.001427,               0.001427
                      9,                  1.287,                 1.1157,                 1.0934,                0.61408,                0.59017,                0.61076,                0.33119,                 1.4006,                 1.3159,                 1.1632,               0.001427,               0.001427,               0.001427
                     10,                  1.297,                 1.0546,                 1.0643,                0.65209,                0.65497,                0.69167,                  0.394,                  1.319,                 1.2312,                 1.0984,              0.0013969,              0.0013969,              0.0013969
                     11,                 1.2485,                 1.0491,                 1.0498,                0.63878,                0.69801,                0.66974,                0.36014,                 1.3674,                  1.099,                 1.1187,              0.0013669,              0.0013669,              0.0013669
                     12,                 1.2387,                0.96611,                 1.0456,                0.73532,                0.67117,                0.74997,                0.43208,                 1.2899,                  1.102,                 1.0974,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.2448,                0.92532,                  1.036,                0.78613,                0.71642,                0.77768,                0.44496,                 1.2834,                 1.0117,                 1.0907,              0.0013069,              0.0013069,              0.0013069
                     14,                 1.1986,                  0.903,                 1.0252,                0.71999,                0.75125,                0.77205,                0.44697,                 1.2971,                0.97338,                 1.1102,              0.0012769,              0.0012769,              0.0012769
                     15,                 1.1935,                0.89056,                 1.0174,                0.73012,                0.75313,                0.77275,                 0.4395,                 1.3391,                0.98938,                 1.1259,              0.0012469,              0.0012469,              0.0012469
                     16,                 1.1753,                0.89419,                 1.0093,                0.76123,                0.70914,                0.76813,                0.43891,                 1.3238,                0.95034,                 1.1209,              0.0012169,              0.0012169,              0.0012169
                     17,                 1.1709,                0.87486,                 1.0302,                 0.7141,                0.73123,                0.77845,                0.45933,                 1.2964,                0.98631,                 1.0955,              0.0011869,              0.0011869,              0.0011869
                     18,                 1.1597,                0.84419,                 1.0146,                0.79753,                 0.7646,                0.81156,                0.47816,                 1.2855,                0.88142,                 1.1012,              0.0011569,              0.0011569,              0.0011569
                     19,                 1.1491,                0.84591,                 1.0037,                0.79645,                0.76213,                0.81654,                0.48747,                 1.2582,                0.84844,                 1.0881,              0.0011269,              0.0011269,              0.0011269
                     20,                 1.1469,                0.85108,                 1.0015,                0.80551,                0.78437,                   0.83,                0.50405,                 1.2377,                0.85207,                 1.0858,              0.0010969,              0.0010969,              0.0010969
                     21,                 1.1531,                0.82706,                 1.0069,                 0.8245,                0.77417,                 0.8342,                0.49072,                 1.2602,                0.84762,                 1.0889,              0.0010669,              0.0010669,              0.0010669
                     22,                 1.1315,                0.80811,                0.99853,                0.77944,                0.79975,                0.84148,                0.49741,                 1.2646,                0.83794,                 1.0975,              0.0010369,              0.0010369,              0.0010369
